index,error_type,question,answers_choices,ground_truth,prediction,raw_output
388,invalid_bia_dap_an,"Bà B là một người hoạt động tích cực trong lĩnh vực xã hội và đang tham gia vào một dự án nhằm nâng cao nhận thức về quyền bình đẳng trong cộng đồng. Trong một buổi thảo luận với các thành viên của tổ chức phi chính phủ, bà đã đưa ra vấn đề về vai trò của nữ giới trong các cơ quan công quyền. Để có cái nhìn chi tiết hơn, bà B mong muốn tìm hiểu cụ thể cách mà quy định hiện hành đảm bảo sự cân bằng trong việc tham gia vào các hoạt động chính trị giữa nam và nữ. Vậy, những quy định được áp dụng nhằm thúc đẩy sự bình đẳng này là gì?",A. Thể thao - y tế B. Giáo dục C. Dịch vụ pháp lý D. Trách nhiệm hình sự E. Quyền dân sự F. Đầu tư,E. Quyền dân sự,(invalid),G. Chính trị và quyền công dân
390,chon_sai_dap_an_hop_le,"Giả sử một doanh nghiệp xây dựng đang xem xét tham gia một dự án xây dựng lớn. Để chuẩn bị tốt nhất cho quá trình đấu thầu, họ quan tâm đến thời gian hợp lý mà nhà thầu có thể gửi yêu cầu làm rõ thông tin trong hồ sơ mời thầu, đặc biệt đối với những trường hợp không thực hiện qua mạng. Việc này cần được thực hiện trong khoảng thời gian cụ thể trước thời điểm chốt nộp hồ sơ. Vậy, doanh nghiệp cần xác định rõ khung thời gian này để đảm bảo các yêu cầu của họ được xem xét kịp thời.",A. Đầu tư B. Quyền dân sự C. Lĩnh vực khác D. Lao động - tiền lương E. Bất động sản F. Thủ tục tố tụng,A. Đầu tư,C. Lĩnh vực khác,C
392,chon_sai_dap_an_hop_le,"Trong bối cảnh năm 2025, bà B - một nhà hoạt động xã hội - muốn thực hiện một chuỗi sự kiện nhằm nâng cao nhận thức về quyền bình đẳng giới và phòng ngừa bạo lực dựa trên cơ sở giới trong cộng đồng. Để chuẩn bị tốt cho các hoạt động, bà B cần tìm hiểu chi tiết về chủ đề chính thức của tháng hành động vì bình đẳng giới được tổ chức trên toàn quốc. Bà B sẽ phải xem xét kỹ các khuyến nghị và hoạt động quan trọng nào sẽ được ưu tiên trong giai đoạn này?",A. Quyền dân sự B. Trách nhiệm hình sự C. Thể thao - y tế D. Đầu tư E. Văn hóa - xã hội F. Giáo dục,A. Quyền dân sự,E. Văn hóa - xã hội,E
395,invalid_bia_dap_an,"Một sinh viên nước ngoài đang theo học tại Việt Nam và đã đăng ký tạm trú. Khi thời gian tạm trú gần hết hạn, bạn ấy cần chuẩn bị hồ sơ cần thiết để gia hạn vì lo ngại ảnh hưởng đến việc học tập và sinh hoạt. Trong trường hợp này, bao nhiêu ngày trước khi thời hạn ban đầu kết thúc thì bạn ấy nên tiến hành làm thủ tục gia hạn để tránh những rắc rối pháp lý có thể xảy ra?",A. Quyền dân sự B. Tiền tệ ngân hàng C. Xuất nhập khẩu D. Thể thao - y tế E. Tài nguyên - môi trường F. Bảo hiểm,A. Quyền dân sự,(invalid),G
400,chon_sai_dap_an_hop_le,"Ông B là một phụ huynh quan tâm đến việc phát triển giáo dục sớm cho con em mình trong độ tuổi mầm non. Khi nghe nói về chương trình phổ cập giáo dục cho trẻ từ 3 đến 5 tuổi, ông muốn tìm hiểu chi tiết về các quy định, phương pháp triển khai, cũng như những quyền lợi mà con mình có thể nhận được từ chính sách này. Do đó, ông đang tìm kiếm thông tin cụ thể liên quan đến Nghị định 277/2025/NĐ-CP và những hướng dẫn thực tiễn từ Nghị quyết 218/2025/QH15 để đảm bảo con mình được hưởng đầy đủ các lợi ích của chương trình. Nội dung và chi tiết cụ thể của những văn bản này là gì?",A. Giáo dục B. Tài nguyên - môi trường C. Sở hữu trí tuệ D. Thủ tục tố tụng E. Văn hóa - xã hội F. Bộ máy hành chính,A. Giáo dục,E. Văn hóa - xã hội,E
401,chon_sai_dap_an_hop_le,"Trong một cộng đồng đang chứng kiến sự thay đổi nhanh chóng về cấu trúc dân số, các nhà hoạch định chính sách đang nỗ lực tìm kiếm giải pháp nhằm cân bằng tỷ lệ sinh để đảm bảo sự phát triển bền vững. Một số chuyên gia đã đề xuất việc tạo ra các chương trình hỗ trợ cho gia đình trẻ, bao gồm hỗ trợ tài chính và các ưu đãi về chăm sóc y tế. Với tình hình thực tế này, các biện pháp nào có thể được thực hiện để đảm bảo mức sinh thay thế được duy trì ổn định và phát triển bền vững cộng đồng?",A. Sở hữu trí tuệ B. Dịch vụ pháp lý C. Thể thao - y tế D. Tài chính nhà nước E. Quyền dân sự F. Đầu tư,C. Thể thao - y tế,D. Tài chính nhà nước,D
405,chon_sai_dap_an_hop_le,"Một công ty đang tiến hành đánh giá kế hoạch nhân lực cho những năm tới. Trong bối cảnh đó, phòng nhân sự cần xác định thời điểm nhân viên đủ điều kiện nghỉ hưu, dựa trên năm sinh cụ thể và quy định mới sẽ áp dụng từ 2025 trở đi. Nhân sự cần tìm hiểu chi tiết các mốc thời gian, lợi ích khi nghỉ hưu, cũng như các yếu tố pháp lý liên quan, để đảm bảo định hướng công ty hiệu quả và tuân thủ quyết định mới. Vậy, các yếu tố cần xem xét khi tính toán tuổi về hưu theo quy định sắp tới là gì?",A. Tài chính nhà nước B. Thể thao - y tế C. Lĩnh vực khác D. Kế toán - kiểm toán E. Dịch vụ pháp lý F. Lao động - tiền lương,F. Lao động - tiền lương,E. Dịch vụ pháp lý,E
406,chon_sai_dap_an_hop_le,"Ông John, một nhà quản lý cấp cao tại một thành phố đang tiên phong trong lĩnh vực hiện đại hóa đô thị, đã được giao nhiệm vụ lên kế hoạch cho việc phát triển một đô thị thông minh mới. Dự kiến từ giữa tháng 10 năm 2025, dự án này sẽ bắt đầu triển khai. Ông John cần biết chi tiết về các yếu tố và kế hoạch trọng điểm nào mà tổ chức sẽ áp dụng để đảm bảo xã hội được vận hành thông minh hơn. Bao gồm những khía cạnh nào cần chú ý trong việc lập kế hoạch phát triển này?",A. Thương mại B. Thủ tục tố tụng C. Xây dựng - đô thị D. Lĩnh vực khác E. Lao động - tiền lương F. Công nghệ thông tin,F. Công nghệ thông tin,C. Xây dựng - đô thị,C
409,chon_sai_dap_an_hop_le,"Ông B là giám đốc của một công ty khởi nghiệp trong lĩnh vực tài nguyên thiên nhiên. Trong quá trình chuẩn bị kế hoạch kinh doanh và các tài liệu pháp lý cần thiết để đấu thầu một dự án lớn, ông B cần xác định chi tiết mã phân loại cụ thể cho một hạng mục liên quan đến khai thác khí đốt tự nhiên. Ông B muốn biết mã số cấp độ chi tiết nào được gán cho ngành này theo hệ thống phân loại kinh tế hiện hành để đảm bảo tài liệu của công ty hoàn toàn chính xác và phù hợp với các yêu cầu pháp lý.",A. Đầu tư B. Thương mại C. Tài chính nhà nước D. Xây dựng - đô thị E. Thủ tục tố tụng F. Tài nguyên - môi trường,B. Thương mại,F. Tài nguyên - môi trường,F. Tài nguyên - môi trường
410,invalid_bia_dap_an,"Anh B đang tham gia vào một khóa học chuyên sâu về các quy trình pháp lý liên quan đến việc thực thi bản án. Trong quá trình tìm hiểu, anh muốn nắm rõ cấu trúc của quy định liên quan để có thể áp dụng chính xác trong công việc thực tế sau này. Đặc biệt, anh B đang tìm cách ghi nhớ các phần của Luật Thi hành án hình sự. Do đó, anh cần biết rõ ràng toàn bộ luật này được chia thành bao nhiêu chương và cấu thành bởi bao nhiêu điều?",A. Thủ tục tố tụng B. Trách nhiệm hình sự C. Thể thao - y tế D. Xuất nhập khẩu E. Lĩnh vực khác F. Thuế - phí - lệ phí,A. Thủ tục tố tụng,(invalid),G
419,chon_sai_dap_an_hop_le,"Người dân muốn kiểm tra thông tin về các cá nhân đang bị truy nã để nâng cao cảnh giác trong cộng đồng. Ông B, một người sống ở thành phố, muốn sử dụng thiết bị di động để tra cứu danh sách truy nã thông qua ứng dụng VNeID. Ông cần biết cách thực hiện điều này với phiên bản mới nhất của ứng dụng, bao gồm các bước và yêu cầu cụ thể cần tuân thủ để đảm bảo an toàn và chính xác. Ông B nên làm gì để nhận được thông tin cần thiết?",A. Công nghệ thông tin B. Sở hữu trí tuệ C. Lĩnh vực khác D. Thủ tục tố tụng E. Xuất nhập khẩu F. Dịch vụ pháp lý,D. Thủ tục tố tụng,A. Công nghệ thông tin,A
422,chon_sai_dap_an_hop_le,"Ông B hiện đang điều hành một công ty tư vấn lớn và muốn tham gia một dự án đấu thầu quan trọng. Để đảm bảo độ tin cậy và chất lượng cho hồ sơ thầu, ông B cần thành lập một tổ chuyên gia nội bộ. Ông đang thắc mắc về quy định yêu cầu kinh nghiệm tối thiểu của các thành viên tổ chuyên gia này. Liệu họ cần có bao nhiêu năm làm việc trong lĩnh vực có liên quan để đáp ứng tiêu chí và tăng khả năng thành công trong quá trình tư vấn đấu thầu?",A. Bảo hiểm B. Trách nhiệm hình sự C. Đầu tư D. Chứng khoán E. Giao thông vận tải F. Xây dựng - đô thị,C. Đầu tư,F. Xây dựng - đô thị,F
423,invalid_bia_dap_an,"Ông B là chủ một doanh nghiệp nhỏ đang mở rộng kho hàng và cần nhập nhiều vật liệu để đáp ứng nhu cầu sản xuất ngày càng tăng. Để đảm bảo việc quản lý hàng hóa nhập kho một cách hiệu quả và tuân thủ đúng quy định pháp lý, ông B cần biết nơi nào có thể cung cấp mẫu Phiếu nhập kho 01-VT theo Thông tư 99. Liệu ông B có thể truy cập vào tài liệu này qua internet hoặc từ cơ quan quản lý nào để đảm bảo mọi thủ tục được thực hiện chính xác không?",A. Tài nguyên - môi trường B. Công nghệ thông tin C. Bất động sản D. Tài chính nhà nước E. Kế toán - kiểm toán F. Thủ tục tố tụng,E. Kế toán - kiểm toán,(invalid),G
424,chon_sai_dap_an_hop_le,"Ông B làm việc tại một doanh nghiệp công nghệ và đang lên kế hoạch tổ chức các sự kiện truyền thông nhân dịp Ngày Chuyển đổi số quốc gia. Trong quá trình này, ông B cần tuân thủ các quy định và nguyên tắc nào được nêu trong Quyết định 505/QĐ-TTg để đảm bảo mọi hoạt động diễn ra phù hợp và hiệu quả, từ việc tiếp cận đối tượng mục tiêu đến việc phổ biến thông tin rộng rãi?",A. Công nghệ thông tin B. Văn hóa - xã hội C. Doanh nghiệp D. Giao thông vận tải E. Bảo hiểm F. Đầu tư,A. Công nghệ thông tin,C. Doanh nghiệp,C
426,invalid_bia_dap_an,"Bà B, một quản lý tại một bệnh viện công, đang chuẩn bị cho việc mua sắm thuốc và vật tư y tế cho năm tài chính mới. Bà nghe nói từ ngày 25/10/2025 sẽ có những thay đổi trong quy trình mua sắm thuốc. Để đảm bảo tuân thủ đúng quy định, bà muốn biết những trường hợp cụ thể nào sẽ không cần thực hiện đấu thầu thuốc theo quy định mới nhất trong Thông tư 40 mà bệnh viện cần lưu ý?",A. Bất động sản B. Bộ máy hành chính C. Bảo hiểm D. Đầu tư E. Tiền tệ ngân hàng F. Thủ tục tố tụng,D. Đầu tư,(invalid),G
428,chon_sai_dap_an_hop_le,"Anh B, khi nhận chức vụ kế toán trưởng cho một công ty, cần thực hiện nghĩa vụ pháp lý cần thiết. Để điều hành hiệu quả tài chính của công ty mình, anh đang tìm hiểu về quy trình đăng ký chữ ký kế toán trưởng với Kho bạc Nhà nước. Vậy, Công văn ban hành mới đây quy định cụ thể những bước và điều khoản nào mà anh B cần tuân thủ khi thực hiện đăng ký này?",A. Tiền tệ ngân hàng B. Tài nguyên - môi trường C. Dịch vụ pháp lý D. Vi phạm hành chính E. Kế toán - kiểm toán F. Thủ tục tố tụng,A. Tiền tệ ngân hàng,E. Kế toán - kiểm toán,E
435,chon_sai_dap_an_hop_le,"Trong một phiên họp của Quốc hội, bà B đặt vấn đề về sự công bằng và phát triển bền vững cho các vùng miền có cộng đồng dân tộc thiểu số. Trong bối cảnh đó, bà B muốn biết cơ quan nào của Quốc hội sẽ chịu trách nhiệm chính trong việc xem xét và đánh giá các chính sách liên quan để đảm bảo chúng thực sự đáp ứng nhu cầu và quyền lợi của những cộng đồng này?",A. Văn hóa - xã hội B. Công nghệ thông tin C. Trách nhiệm hình sự D. Bảo hiểm E. Xây dựng - đô thị F. Bộ máy hành chính,F. Bộ máy hành chính,A. Văn hóa - xã hội,A
441,chon_sai_dap_an_hop_le,"Ông B là chủ một nhà thuốc mới mở và đang có ý định mở rộng kinh doanh qua mạng để tiếp cận nhiều khách hàng hơn. Ông tìm hiểu rằng để hợp pháp hóa hoạt động bán thuốc trực tuyến, ông cần thực hiện một số bước đăng ký và báo cáo theo quy định hiện hành. Ông B muốn xác định rõ loại biểu mẫu cần sử dụng để thông báo bắt đầu hoạt động kinh doanh thuốc trực tuyến theo hướng dẫn của Thông tư 11 hiện hành là mẫu nào?",A. Tài nguyên - môi trường B. Thể thao - y tế C. Công nghệ thông tin D. Bất động sản E. Tài chính nhà nước F. Kế toán - kiểm toán,B. Thể thao - y tế,C. Công nghệ thông tin,C
442,chon_sai_dap_an_hop_le,"Một doanh nghiệp đang lên kế hoạch tổ chức sự kiện tri ân khách hàng dự kiến vào ngày 22 tháng 2 năm 2026. Để việc chuẩn bị diễn ra suôn sẻ, họ cần biết chi tiết về ngày này như thứ trong tuần, ngày âm lịch tương ứng và liệu có sự kiện văn hóa hoặc lễ hội quan trọng nào diễn ra vào thời điểm đó mà họ cần lưu ý để lên kế hoạch phù hợp.",A. Giáo dục B. Thương mại C. Doanh nghiệp D. Thể thao - y tế E. Lĩnh vực khác F. Xây dựng - đô thị,E. Lĩnh vực khác,C. Doanh nghiệp,C
445,invalid_bia_dap_an,"Ông B, một nhà quản lý trong lĩnh vực công nghệ, đang chuẩn bị thông tin cho một hội thảo về pháp lý trong viễn thông. Ông cần nắm rõ cấu trúc và nội dung của Luật Viễn thông để trình bày một cách chính xác. Trong quá trình nghiên cứu, ông B gặp câu hỏi về việc Luật Viễn thông hiện hành, được quy định tại Việt Nam, bao gồm tổng số chương và điều khoản như thế nào để chuẩn bị tư liệu phù hợp cho hội thảo sắp tới?",A. Vi phạm hành chính B. Công nghệ thông tin C. Thương mại D. Thủ tục tố tụng E. Bộ máy hành chính F. Bảo hiểm,B. Công nghệ thông tin,(invalid),G
450,invalid_bia_dap_an,"Anh B chuẩn bị tổ chức một sự kiện quan trọng vào ngày 23 tháng 4 năm 2025 và cần xác định chính xác hôm đó là ngày nào trong tuần để hoạch định kế hoạch chi tiết. Đồng thời, anh cũng muốn biết ngày âm tương ứng để phù hợp với phong tục và chọn ngày tốt lành cho sự kiện. Vậy, anh B cần biết ngày 23 tháng 4 năm 2025 là thứ mấy và ngày âm lịch nào?",A. Kế toán - kiểm toán B. Sở hữu trí tuệ C. Quyền dân sự D. Tiền tệ ngân hàng E. Bảo hiểm F. Đầu tư,B. Sở hữu trí tuệ,(invalid),G. Lịch và phong tục
452,chon_sai_dap_an_hop_le,"Ông B hiện đang làm việc tại một cơ quan xây dựng và quản lý dự án lớn của thành phố. Trong bối cảnh nguồn tài chính đang có nhiều biến động, ông B được giao nhiệm vụ điều chỉnh lại kế hoạch đầu tư công cho giai đoạn trung hạn và cũng như từng năm dựa trên những quy định mới nhất. Trước tình huống này, ông B cần nắm rõ những điều kiện và trình tự điều chỉnh theo Nghị định 275 để đảm bảo việc áp dụng chính sách vào kế hoạch đầu tư một cách hiệu quả và đúng pháp luật ra sao?",A. Đầu tư B. Thuế - phí - lệ phí C. Thương mại D. Xây dựng - đô thị E. Quyền dân sự F. Dịch vụ pháp lý,A. Đầu tư,D. Xây dựng - đô thị,D
456,chon_sai_dap_an_hop_le,"Ông B quản lý một cơ sở sản xuất trang sức đã nhiều năm và đang có ý định mở rộng dịch vụ sang lĩnh vực sản xuất vàng miếng. Để tiến hành việc này, ông cần thực hiện thủ tục sửa đổi và bổ sung giấy phép quan trọng đã có. Vậy, ông B cần phải chuẩn bị những giấy tờ và thông tin gì theo quy định hiện hành của Thông tư 34 để quá trình này diễn ra suôn sẻ và đúng luật?",A. Tiền tệ ngân hàng B. Thuế - phí - lệ phí C. Quyền dân sự D. Thể thao - y tế E. Doanh nghiệp F. Tài chính nhà nước,A. Tiền tệ ngân hàng,E. Doanh nghiệp,E
462,chon_sai_dap_an_hop_le,"Ông B đang tham gia vào một dự án đổi mới sáng tạo lớn và đã ký một hợp đồng tài trợ với một tổ chức tài chính để thực hiện nhiệm vụ này. Trong bối cảnh yêu cầu minh bạch và sự cần thiết của việc theo dõi tiến độ, ông B muốn biết liệu trong hợp đồng tài trợ mà ông đã ký có cần quy định rõ ràng về trách nhiệm đối với việc cung cấp, thu thập và báo cáo số liệu cần thiết không, và những hậu quả gì có thể xảy ra nếu bên nhận tài trợ không tuân thủ các quy định này?",A. Bảo hiểm B. Lĩnh vực khác C. Thủ tục tố tụng D. Kế toán - kiểm toán E. Công nghệ thông tin F. Trách nhiệm hình sự,B. Lĩnh vực khác,D. Kế toán - kiểm toán,D
463,chon_sai_dap_an_hop_le,"Chị B rất đam mê cống hiến cho đất nước và quyết định tham gia nghĩa vụ quân sự theo diện tự nguyện. Tuy nhiên, chị chưa biết cách để tìm và điền chính xác loại đơn cần thiết cho việc đăng ký này. Vậy, chị B nên làm thế nào để chuẩn bị đầy đủ thủ tục đăng ký tham gia nghĩa vụ quân sự tự nguyện cho nữ, bao gồm việc tìm kiếm và hoàn tất các mẫu đơn liên quan một cách chính xác và hợp lệ?",A. Dịch vụ pháp lý B. Sở hữu trí tuệ C. Xây dựng - đô thị D. Quyền dân sự E. Bất động sản F. Doanh nghiệp,D. Quyền dân sự,A. Dịch vụ pháp lý,A
464,chon_sai_dap_an_hop_le,"Gia đình chị B điều hành một cửa hàng nhỏ bán lẻ hàng hóa tại địa phương. Từ năm 2026, có nhiều sự thay đổi trong các quy định liên quan đến hoạt động kinh doanh. Chị B đang băn khoăn liệu việc điều hành cửa hàng sẽ yêu cầu phải có một tài khoản ngân hàng riêng biệt chỉ dành cho các giao dịch liên quan đến cửa hàng. Vậy, chị B cần tìm hiểu cụ thể về những quy định mới này là gì để đảm bảo tuân thủ pháp luật và tối ưu hóa hoạt động kinh doanh của mình?",A. Vi phạm hành chính B. Kế toán - kiểm toán C. Doanh nghiệp D. Tiền tệ ngân hàng E. Dịch vụ pháp lý F. Thương mại,C. Doanh nghiệp,D. Tiền tệ ngân hàng,D
467,chon_sai_dap_an_hop_le,"Doanh nghiệp của chị B đang xem xét mở rộng lĩnh vực hoạt động sau nhiều năm kinh doanh thành công. Tuy nhiên, họ vừa nhận được thông tin về những thay đổi quy định pháp luật liên quan đến ngành nghề. Chị B thắc mắc liệu việc kinh doanh dịch vụ kế toán sắp tới có còn bị coi là ngành nghề đầu tư cần điều kiện đặc biệt hay không. Trong bối cảnh này, những quy định mới có ảnh hưởng gì đến kế hoạch dài hạn của doanh nghiệp chị B không?",A. Công nghệ thông tin B. Thương mại C. Văn hóa - xã hội D. Thể thao - y tế E. Tài chính nhà nước F. Thuế - phí - lệ phí,B. Thương mại,E. Tài chính nhà nước,E
470,chon_sai_dap_an_hop_le,"Chị B đang tham gia một diễn đàn thảo luận về việc nâng cao quyền bình đẳng tại nơi làm việc. Để chuẩn bị tốt cho buổi trao đổi, chị cần tìm hiểu về các văn bản pháp lý liên quan, cụ thể là những văn bản mới nhất liên quan đến việc hướng dẫn thực hiện bình đẳng giới. Vậy, chị B cần biết rõ những nghị định nào đã được ban hành để hỗ trợ cho Luật Bình đẳng giới hiện hành?",A. Đầu tư B. Xuất nhập khẩu C. Lĩnh vực khác D. Quyền dân sự E. Trách nhiệm hình sự F. Sở hữu trí tuệ,D. Quyền dân sự,C. Lĩnh vực khác,C
475,chon_sai_dap_an_hop_le,"Ông B cảm thấy không hài lòng với một quyết định hành chính của cơ quan địa phương liên quan đến mảnh đất gia đình. Ông đã quyết định gửi đơn khiếu nại để bảo vệ quyền lợi chính đáng của mình. Sau khi nhận được quyết định giải quyết từ cơ quan có thẩm quyền, ông B thắc mắc về thời điểm quyết định này có giá trị và có nên thực hiện khiếu nại lần nữa không. Vậy, ông cần hiểu rõ quá trình và hiệu lực của quyết định này ra sao để có phương án xử lý phù hợp?",A. Giao thông vận tải B. Văn hóa - xã hội C. Dịch vụ pháp lý D. Thuế - phí - lệ phí E. Thủ tục tố tụng F. Xuất nhập khẩu,E. Thủ tục tố tụng,C. Dịch vụ pháp lý,C
480,invalid_bia_dap_an,"Ông B sở hữu một bộ sưu tập tài liệu quý báu và lo lắng về việc bảo đảm an toàn cho chúng. Trong quá trình tìm kiếm giải pháp, ông phát hiện ra các tổ chức cung cấp dịch vụ bảo quản tài sản cho khách hàng. Với dịch vụ này, ông B muốn làm rõ các điều khoản pháp lý cùng những quyền lợi và nghĩa vụ của cả hai bên trong quá trình cất giữ tài sản tại các tổ chức này. Vậy quy trình này diễn ra như thế nào và tổ chức tín dụng có thẩm quyền cung cấp dịch vụ đó không?",A. Tiền tệ ngân hàng B. Giáo dục C. Đầu tư D. Công nghệ thông tin E. Bộ máy hành chính F. Lao động - tiền lương,A. Tiền tệ ngân hàng,(invalid),G. Dịch vụ tài chính
483,chon_sai_dap_an_hop_le,"Nhà phát triển B đang chuẩn bị một dự án xây dựng lớn và muốn đảm bảo rằng quy trình lựa chọn nhà thầu được thực hiện minh bạch và tuân thủ đúng quy định. Anh ta cần biết chi tiết về thời gian tối đa mà các chủ đầu tư phải đăng tải kế hoạch tổng thể chọn nhà thầu lên hệ thống mạng đấu thầu quốc gia. Vậy, trong bối cảnh thực hiện dự án này, thời hạn đăng tải đó được quy định như thế nào và cần lưu ý các bước gì để tuân thủ đúng quy trình?",A. Tài nguyên - môi trường B. Trách nhiệm hình sự C. Đầu tư D. Xây dựng - đô thị E. Lao động - tiền lương F. Thuế - phí - lệ phí,C. Đầu tư,D. Xây dựng - đô thị,D
489,chon_sai_dap_an_hop_le,"Một công ty dược phẩm đang tìm cách mở rộng thị trường và muốn tham gia vào các dự án cung cấp thuốc cho bệnh viện công. Để chuẩn bị hồ sơ tham gia đấu thầu, giám đốc của công ty cần nắm rõ những quy định cập nhật liên quan đến các văn bản pháp lý điều chỉnh quá trình đấu thầu thuốc tại cơ sở y tế công lập. Vậy, giám đốc cần tìm kiếm thông tin về văn bản mới nhất nào để đảm bảo tuân thủ quy định đấu thầu hiện hành?",A. Dịch vụ pháp lý B. Lĩnh vực khác C. Tiền tệ ngân hàng D. Thủ tục tố tụng E. Đầu tư F. Thương mại,E. Đầu tư,A. Dịch vụ pháp lý,A
491,chon_sai_dap_an_hop_le,"Ông B, một công dân tích cực trong việc nâng cao nhận thức pháp luật, đang thảo luận với bạn bè về các sự kiện quan trọng trong hệ thống pháp luật quốc gia. Nhân dịp này, ông muốn tìm hiểu kỹ về thời điểm tổ chức Ngày Pháp luật Việt Nam trong năm 2025. Bên cạnh đó, ông cũng quan tâm đến cách thức và nội dung mà nhà nước dự kiến áp dụng để thúc đẩy tinh thần thượng tôn pháp luật trong cộng đồng qua sự kiện này. Ông B cần xem xét những quy định cụ thể nào liên quan đến ngày đặc biệt này để có thể chuẩn bị tham gia một cách hiệu quả và ý nghĩa?",A. Quyền dân sự B. Đầu tư C. Lĩnh vực khác D. Xây dựng - đô thị E. Bộ máy hành chính F. Chứng khoán,C. Lĩnh vực khác,E. Bộ máy hành chính,E
504,invalid_bia_dap_an,"Một công ty quốc tế hoạt động trong lĩnh vực năng lượng đang muốn củng cố quy trình quản lý rủi ro và tăng cường tính minh bạch trong hoạt động kinh doanh của mình. Để đạt được mục tiêu này, ban giám đốc quyết định thiết lập một chương trình tuân thủ nội bộ chặt chẽ. Trong quá trình thực hiện, họ cần nộp một loại đơn đặc biệt để được cơ quan chức năng xác nhận việc thực hiện chương trình này đúng theo tiêu chuẩn pháp lý hiện hành. Do đó, công ty đang tìm hiểu xem loại văn bản nào họ cần chuẩn bị để đáp ứng đúng theo Nghị định 259 để đảm bảo tính hợp pháp và hiệu quả của chương trình mà họ đang triển khai.",A. Thể thao - y tế B. Bảo hiểm C. Thương mại D. Xuất nhập khẩu E. Lao động - tiền lương F. Văn hóa - xã hội,C. Thương mại,(invalid),G. Pháp chế - Quy định
507,chon_sai_dap_an_hop_le,"Ông B đang chuẩn bị giao dịch một lượng lớn kim loại quý và đá quý với đối tác của mình. Để đảm bảo mọi thủ tục đều diễn ra hợp pháp và minh bạch, ông muốn tìm và điền chính xác mẫu biên bản giao nhận mới nhất cho loại tài sản này. Ông B cần biết tài liệu này có thể được tải xuống từ trang nào và quy trình cụ thể để hoàn thiện mẫu một cách chính xác là gì?",A. Thuế - phí - lệ phí B. Chứng khoán C. Xuất nhập khẩu D. Lĩnh vực khác E. Tiền tệ ngân hàng F. Bất động sản,E. Tiền tệ ngân hàng,D. Lĩnh vực khác,D
510,chon_sai_dap_an_hop_le,"Bà B đang điều hành một công ty mới chuyên về khai thác nguyên liệu từ tự nhiên. Để đảm bảo hoạt động kinh doanh của mình tuân thủ quy định pháp luật, bà cần đăng ký mã ngành phù hợp cho hoạt động khai thác đá, cát, sỏi, đất sét. Trong bối cảnh này, bà B cần xác định rõ mã ngành kinh tế cấp 4 cho lĩnh vực khai thác này là gì để hoàn tất thủ tục đăng ký kinh doanh theo quy định hiện hành?",A. Doanh nghiệp B. Thể thao - y tế C. Vi phạm hành chính D. Xây dựng - đô thị E. Kế toán - kiểm toán F. Thương mại,F. Thương mại,D. Xây dựng - đô thị,D
515,invalid_bia_dap_an,"Một doanh nghiệp nông nghiệp ở miền Trung đang lên kế hoạch mở rộng hoạt động vào lĩnh vực trồng trọt để đáp ứng nhu cầu ngày càng tăng của thị trường. Họ đang tìm hiểu xem mã số ngành kinh tế cấp 4 sẽ cần thiết khi đăng ký cho hoạt động trồng ngô và các cây lương thực hạt khác. Để đảm bảo sự tuân thủ với các quy định hiện hành, mã ngành chính xác mà doanh nghiệp cần áp dụng khi thực hiện thủ tục đăng ký kinh doanh là gì?",A. Giao thông vận tải B. Thương mại C. Tài nguyên - môi trường D. Dịch vụ pháp lý E. Xuất nhập khẩu F. Văn hóa - xã hội,B. Thương mại,(invalid),G
516,chon_sai_dap_an_hop_le,"Anh B là quản lý tài chính của một doanh nghiệp vừa và nhỏ. Để chuẩn bị cho cuộc họp định kỳ với hội đồng quản trị, anh cần tạo ra một báo cáo tài chính năm đầy đủ và chính xác theo quy định hiện hành. Vì vậy, anh muốn biết cụ thể cách tải hệ thống báo cáo tài chính năm chi tiết theo Thông tư 99, bao gồm các bước thực hiện và các điểm cần lưu ý khi thao tác trên hệ thống này.",A. Công nghệ thông tin B. Sở hữu trí tuệ C. Lĩnh vực khác D. Bảo hiểm E. Tiền tệ ngân hàng F. Kế toán - kiểm toán,A. Công nghệ thông tin,F. Kế toán - kiểm toán,F
523,invalid_bia_dap_an,"Bà B đang xem xét cách thức mà cơ quan chức năng sẽ sử dụng để thu thập dữ liệu giọng nói của công dân phục vụ cho việc cấp Căn cước công dân. Bà muốn biết cụ thể từng bước trong quy trình đó, bắt đầu từ lúc chuẩn bị thiết bị, tiếp đón công dân, cho đến khi hoàn thành việc ghi nhận sinh trắc học giọng nói. Quy trình chi tiết này gồm những bước nào và có những yêu cầu thủ tục cụ thể gì đối với người thực hiện?",A. Vi phạm hành chính B. Quyền dân sự C. Bảo hiểm D. Kế toán - kiểm toán E. Xuất nhập khẩu F. Doanh nghiệp,B. Quyền dân sự,(invalid),G. Sinh trắc học
